	Mūla	Aṭṭha	Ṭīkā
Vinaya – Pārājika	-1	-1	-1
Vinaya – Pācittiya	-1	-1	-1
Vinaya – Mahāvagga	-1	-1	-1
Vinaya – Cūlavagga	-1	-1	-1
Vinaya – Parivāra	-1	-1	-1
Vinaya – Ṭīkā	-1	-1	-1
Sutta – Dīghanikāya	-1	-1	-1
Sutta – Majjhimanikāya	-1	-1	-1
Sutta – Saṃyuttanikāya	-1	-1	-1
Sutta – Aṅguttaranikāya	-1	-1	-1
Sutta – Khuddakanikāya1	-1	-1	-1
Sutta – Khuddakanikāya2	-1	-1	-1
Abhidhamma – Dhammasaṅgaṇī	-1	-1	-1
Abhidhamma – Vibhaṅga	-1	-1	-1
Abhidhamma – Dhātukathā	-1	-1	-1
Abhidhamma – Puggalapaññatti	-1	-1	-1
Abhidhamma – Kathāvatthu	-1	-1	-1
Abhidhamma – Yamaka	-1	-1	-1
Abhidhamma – Paṭṭhāna	-1	-1	-1
Abhidhamma – Aññā	-1	-1	-1
Aññā – Visuddhimagga	-1	-1	-1
Aññā – Leḍī Sayāḍo	-1	-1	-1
Aññā – Buddhavandanā	-1	-1	-1
Aññā – Vaṃsa	-1	-1	-1
Aññā – Byākaraṇa	-1	-1	-1
Aññā – Pucchavissajjanā	-1	-1	-1
Aññā – Nīti	-1	-1	-1
Aññā – Pakiṇṇaka	-1	-1	-1
Aññā – Sihaḷa	-1	-1	-1
